cell_id,n,kind,param,p,reject
DLinear_ETTm1_h96_none_s2023_det,11425,partial,0.05,0.0,1
DLinear_ETTm1_h96_none_s2023_det,11425,partial,0.1,0.0,1
DLinear_ETTm1_h96_none_s2023_det,11425,partial,0.25,0.0,1
DLinear_ETTm1_h96_none_s2023_det,11425,partial,0.5,4.471451744823192e-175,1
DLinear_ETTm1_h96_none_s2023_det,11425,partial,1.0,0.6802532750528412,0
DLinear_ETTm1_h96_san_lite_s2021_shuf,11425,block,8.0,0.0,1
DLinear_ETTm1_h96_san_lite_s2021_shuf,11425,block,32.0,0.0,1
DLinear_ETTm1_h96_san_lite_s2021_shuf,11425,block,128.0,0.0,1
DLinear_ETTm1_h96_san_lite_s2021_shuf,11425,block,512.0,0.0,1
DLinear_ETTm1_h96_san_lite_s2021_shuf,11425,partial,0.05,0.0,1
DLinear_ETTm1_h96_san_lite_s2021_shuf,11425,partial,0.1,0.0,1
DLinear_ETTm1_h96_san_lite_s2021_shuf,11425,partial,0.25,0.0,1
DLinear_ETTm1_h96_san_lite_s2021_shuf,11425,partial,0.5,3.1269312439845684e-203,1
DLinear_ETTm1_h96_san_lite_s2021_shuf,11425,partial,1.0,0.12379653779077898,0
DLinear_ILI_h48_revin_s2021_det,50,block,8.0,6.986939317153788e-10,1
